CMDLINE python simulation.py
MEM 93.464844 1562420842.7193
MEM 93.464844 1562420842.8439
MEM 93.464844 1562420842.9741
MEM 93.464844 1562420843.0926
MEM 93.464844 1562420843.2240
MEM 93.464844 1562420843.3528
MEM 93.464844 1562420843.4717
MEM 93.464844 1562420843.6007
MEM 93.464844 1562420843.7302
MEM 93.464844 1562420843.8830
MEM 93.464844 1562420844.0072
MEM 93.464844 1562420844.1437
MEM 93.464844 1562420844.2769
MEM 93.464844 1562420844.4158
MEM 93.464844 1562420844.5502
MEM 93.464844 1562420844.6951
MEM 93.464844 1562420844.8335
MEM 93.464844 1562420844.9744
MEM 93.464844 1562420845.0953
MEM 93.464844 1562420845.2248
MEM 93.464844 1562420845.3638
MEM 93.464844 1562420845.4909
MEM 93.464844 1562420845.6231
MEM 93.464844 1562420845.7391
MEM 93.464844 1562420845.8825
MEM 95.011719 1562420846.0101
MEM 95.011719 1562420846.1506
MEM 95.011719 1562420846.2807
MEM 95.527344 1562420846.4249
MEM 95.527344 1562420846.6068
MEM 95.527344 1562420846.7423
MEM 95.527344 1562420846.9022
MEM 95.527344 1562420847.0236
MEM 95.527344 1562420847.1432
MEM 95.527344 1562420847.2639
MEM 95.527344 1562420847.4092
MEM 95.527344 1562420847.5480
MEM 95.527344 1562420847.6814
MEM 95.527344 1562420847.8172
MEM 95.527344 1562420847.9498
MEM 95.527344 1562420848.0894
MEM 95.527344 1562420848.2094
MEM 95.527344 1562420848.3268
MEM 95.527344 1562420848.4624
MEM 95.527344 1562420848.5903
MEM 95.527344 1562420848.7050
MEM 95.527344 1562420848.8260
MEM 95.527344 1562420848.9629
MEM 95.527344 1562420849.0997
MEM 95.527344 1562420849.2369
MEM 95.527344 1562420849.3546
MEM 95.527344 1562420849.4766
MEM 95.527344 1562420849.6134
MEM 95.527344 1562420849.7577
MEM 95.527344 1562420849.8844
MEM 95.527344 1562420850.0135
MEM 95.527344 1562420850.1502
MEM 95.527344 1562420850.2878
MEM 95.527344 1562420850.4100
MEM 95.527344 1562420850.5290
MEM 95.527344 1562420850.6605
MEM 95.527344 1562420850.7978
MEM 95.527344 1562420850.9352
MEM 95.527344 1562420851.0552
MEM 95.527344 1562420851.1743
MEM 95.527344 1562420851.3063
MEM 95.527344 1562420851.4404
MEM 95.527344 1562420851.5729
MEM 95.527344 1562420851.6912
MEM 95.527344 1562420851.8324
MEM 95.527344 1562420851.9721
MEM 95.527344 1562420852.0955
MEM 95.527344 1562420852.2326
MEM 95.527344 1562420852.3661
MEM 95.527344 1562420852.5001
MEM 95.527344 1562420852.6713
MEM 95.527344 1562420852.8148
MEM 95.527344 1562420852.9414
MEM 95.527344 1562420853.0909
MEM 95.527344 1562420853.2058
MEM 95.527344 1562420853.3300
MEM 95.527344 1562420853.4513
MEM 95.527344 1562420853.5806
MEM 95.527344 1562420853.7131
MEM 95.527344 1562420853.8321
MEM 95.527344 1562420853.9608
MEM 95.527344 1562420854.0981
MEM 95.527344 1562420854.2301
MEM 95.527344 1562420854.3865
MEM 95.527344 1562420854.5375
MEM 95.527344 1562420854.6624
MEM 95.527344 1562420854.7837
MEM 95.527344 1562420854.9191
MEM 95.527344 1562420855.0572
MEM 95.527344 1562420855.2022
MEM 95.527344 1562420855.3229
MEM 95.527344 1562420855.4625
MEM 95.527344 1562420855.5851
MEM 95.527344 1562420855.7194
MEM 95.527344 1562420855.8538
MEM 95.527344 1562420855.9729
MEM 95.527344 1562420856.1074
MEM 95.527344 1562420856.2402
MEM 95.527344 1562420856.3780
MEM 95.527344 1562420856.5110
MEM 95.527344 1562420856.6255
MEM 95.527344 1562420856.7600
MEM 95.527344 1562420856.8989
MEM 95.527344 1562420857.0342
MEM 95.527344 1562420857.1548
MEM 95.527344 1562420857.2721
MEM 95.527344 1562420857.4039
MEM 95.527344 1562420857.5335
MEM 95.527344 1562420857.6640
MEM 95.527344 1562420857.7784
MEM 95.527344 1562420857.9128
MEM 95.527344 1562420858.0488
MEM 95.527344 1562420858.1805
MEM 95.527344 1562420858.2978
MEM 95.527344 1562420858.4164
MEM 95.527344 1562420858.5469
MEM 95.527344 1562420858.6856
MEM 95.527344 1562420858.8056
MEM 95.527344 1562420858.9236
MEM 95.527344 1562420859.0601
MEM 95.527344 1562420859.1910
MEM 95.527344 1562420859.3242
MEM 95.527344 1562420859.4390
MEM 95.527344 1562420859.5704
MEM 95.527344 1562420859.7072
MEM 95.527344 1562420859.8435
MEM 95.527344 1562420859.9611
MEM 95.527344 1562420860.0796
MEM 95.527344 1562420860.2157
MEM 95.527344 1562420860.3525
MEM 95.527344 1562420860.4712
MEM 95.527344 1562420860.5909
MEM 95.527344 1562420860.7235
MEM 95.527344 1562420860.8566
MEM 95.527344 1562420860.9834
MEM 95.527344 1562420861.1004
MEM 95.527344 1562420861.2366
MEM 95.527344 1562420861.3699
MEM 95.527344 1562420861.4933
MEM 95.527344 1562420861.6105
MEM 95.527344 1562420861.7457
MEM 95.527344 1562420861.8829
MEM 95.527344 1562420862.0040
MEM 95.527344 1562420862.1212
MEM 95.527344 1562420862.2515
MEM 95.527344 1562420862.3872
MEM 95.527344 1562420862.5193
MEM 95.527344 1562420862.6338
MEM 95.527344 1562420862.7678
MEM 95.527344 1562420862.8981
MEM 95.527344 1562420863.0395
MEM 95.527344 1562420863.1592
MEM 95.527344 1562420863.2765
MEM 95.527344 1562420863.4092
MEM 95.527344 1562420863.5470
MEM 95.527344 1562420863.6863
MEM 95.527344 1562420863.8016
MEM 95.527344 1562420863.9218
MEM 95.527344 1562420864.0459
MEM 95.527344 1562420864.1772
MEM 95.527344 1562420864.2935
MEM 95.527344 1562420864.4143
MEM 95.527344 1562420864.5478
MEM 95.527344 1562420864.6778
MEM 95.527344 1562420864.7989
MEM 95.527344 1562420864.9189
MEM 95.527344 1562420865.0494
MEM 95.527344 1562420865.1724
MEM 97.589844 1562420865.2933
MEM 97.589844 1562420865.4146
MEM 98.105469 1562420865.5442
MEM 98.105469 1562420865.6747
MEM 97.597656 1562420865.8071
MEM 97.597656 1562420865.9392
MEM 98.113281 1562420866.0609
MEM 98.113281 1562420866.1853
MEM 97.597656 1562420866.3140
MEM 97.597656 1562420866.4461
MEM 98.113281 1562420866.5608
MEM 98.113281 1562420866.6919
MEM 97.082031 1562420866.8227
MEM 97.597656 1562420866.9564
MEM 97.597656 1562420867.0755
MEM 97.597656 1562420867.1928
MEM 97.597656 1562420867.3298
MEM 97.597656 1562420867.4642
MEM 97.597656 1562420867.5944
MEM 97.597656 1562420867.7135
MEM 97.597656 1562420867.8338
MEM 97.597656 1562420867.9709
MEM 97.597656 1562420868.1104
MEM 97.597656 1562420868.2407
MEM 97.597656 1562420868.3625
MEM 97.597656 1562420868.4882
MEM 97.597656 1562420868.6172
MEM 97.597656 1562420868.7468
MEM 97.597656 1562420868.8751
MEM 97.597656 1562420868.9939
MEM 97.597656 1562420869.1139
MEM 97.597656 1562420869.2507
MEM 97.597656 1562420869.3839
MEM 97.597656 1562420869.5174
MEM 97.597656 1562420869.6520
MEM 97.597656 1562420869.7732
MEM 97.597656 1562420869.9012
MEM 97.597656 1562420870.0321
MEM 97.597656 1562420870.1581
MEM 97.597656 1562420870.2798
MEM 97.597656 1562420870.4006
